Date,Cryptofolio_Index,Bitcoin_Index
23-10-2017,25174.6708,6006
24-10-2017,26175.72258,5935.52
25-10-2017,26156.11178,5524.6
26-10-2017,25938.13534,5747.95
27-10-2017,25916.22274,5899.74
28-10-2017,25890.08404,5787.82
29-10-2017,26836.01324,5754.44
30-10-2017,26863.23363,6114.85
31-10-2017,26664.23296,6132.02
01-11-2017,26372.94275,6440.97
02-11-2017,26908.58319,6777.77
03-11-2017,28262.36641,7087.53
04-11-2017,27894.47275,7164.48
05-11-2017,27952.93872,7404.52
06-11-2017,28078.26319,7403.22
07-11-2017,28060.23168,7023.1
08-11-2017,30241.45739,7141.38
09-11-2017,31615.3782,7446.83
10-11-2017,30972.05567,7173.73
11-11-2017,33909.62224,6618.61
12-11-2017,33930.04121,6295.45
13-11-2017,34467.77018,5938.25
14-11-2017,35324.49756,6561.48
15-11-2017,36029.15745,6634.76
16-11-2017,35255.76597,7323.24
17-11-2017,37204.67962,7853.57
18-11-2017,38784.31139,7697.21
19-11-2017,38560.63106,7766.03
20-11-2017,39931.4,8039.07
21-11-2017,38940.125,8205.74
22-11-2017,41138.68063,8077.95
23-11-2017,42341.07953,8232.38
24-11-2017,43777.79465,8074.02
25-11-2017,45511.52787,8241.71
26-11-2017,45453.11062,8789.04
27-11-2017,47350.95433,9352.72
28-11-2017,51088.88056,9823.43
29-11-2017,44979.63953,10077.4
30-11-2017,47882.30394,9906.79
01-12-2017,47759.54186,10198.6
02-12-2017,48031.38291,10978.3
03-12-2017,49648.59768,11082.7
04-12-2017,52712.2439,11315.4
05-12-2017,54650.01817,11685.7
06-12-2017,54726.91865,11923.4
07-12-2017,54215.41842,14266.1
08-12-2017,60815.86768,17802.9
09-12-2017,58862.21055,16523.3
10-12-2017,55269.95762,15168.4
11-12-2017,62940.60102,15427.4
12-12-2017,75442.5709,16919.8
13-12-2017,76553.84978,17500
14-12-2017,88778.07731,16384.6
15-12-2017,88324.02294,16601.3
16-12-2017,95913.58481,17760.3
17-12-2017,102023.4694,19475.8
18-12-2017,112524.9483,19106.4
19-12-2017,120078.3191,19118.3
20-12-2017,127412.7993,17760.3
21-12-2017,126598.7983,16642.4
22-12-2017,104673.2704,15898
23-12-2017,115342.8152,13948.7
24-12-2017,109125.9347,14608.2
25-12-2017,112533.2987,13995.9
26-12-2017,117281.1655,14036.6
27-12-2017,117364.2188,16163.5
28-12-2017,112588.7294,15864.1
29-12-2017,127860.9487,14695.8
30-12-2017,120659.4324,14681.9
31-12-2017,130608.3988,12897.7
01-01-2018,133901.9053,14112.2
02-01-2018,145833.6877,13625
03-01-2018,170153.6729,14978.2
04-01-2018,172945.8513,15270.7
05-01-2018,170988.5778,15477.2
06-01-2018,180716.8483,17462.1
07-01-2018,188869.9554,17527.3
08-01-2018,161853.1976,16476.2
09-01-2018,155377.8553,15123.7
